character_id,name,normalized_name,gender
5344,HOMER'S HAND,homers hand,unknown
5345,Welcome Mat,welcome mat,unknown
5346,Hot Tub Salesman,hot tub salesman,unknown
5347,Irish Pilot,irish pilot,unknown
5348,American Woman,american woman,unknown
5349,Irish Locals,irish locals,unknown
5350,Yuppie Leprechauns,yuppie leprechauns,unknown
5351,Tom O'Flanagan,tom oflanagan,unknown
5352,German Krusty,german krusty,unknown
5353,German Sideshow Mel,german sideshow mel,unknown
5354,Brew-master,brew-master,unknown
5355,American Man,american man,unknown
5356,2nd American Man,2nd american man,unknown
5357,Irish Kid,irish kid,unknown
5358,Bicyclist,bicyclist,unknown
5359,Street Musician,street musician,unknown
5360,Eastern-european Woman,eastern-european woman,unknown
5361,Yup-rechaun,yup-rechaun,unknown
5362,Irish Maitre D',irish maitre d,unknown
5363,Irish Guy,irish guy,unknown
5364,Old Irishman,old irishman,unknown
5365,Smokers,smokers,unknown
5366,2nd Irish Cop,2nd irish cop,unknown
5367,Irish Judge,irish judge,unknown
5368,Congregants,congregants,unknown
5370,Coroner,coroner,unknown
5371,Bridal Saleslady,bridal saleslady,unknown
5372,Tux Salesman,tux salesman,unknown
5373,Videographer,videographer,unknown
5374,Deep Mysterious Voice,deep mysterious voice,unknown
5375,Hockey Announcer #1,hockey announcer 1,unknown
5376,Hockey Announcer #2,hockey announcer 2,unknown
5377,Hockey Announcer #3,hockey announcer 3,unknown
5378,Maya,maya,unknown
5379,Umpa-lumpas,umpa-lumpas,unknown
5380,Jenny,jenny,unknown
5381,MAJOR PRESTON,major preston,unknown
5382,Swedish Woman,swedish woman,unknown
5383,Mother Duck,mother duck,unknown
5384,Sleazy Girl,sleazy girl,unknown
5385,Wiggum Smiley Face,wiggum smiley face,unknown
5386,Zamboni Operator,zamboni operator,unknown
5387,Hot Dog Vendor,hot dog vendor,unknown
5388,Fried Dough Vendor,fried dough vendor,unknown
5389,Midway Barker,midway barker,unknown
5390,Juggler,juggler,unknown
5391,Old Comedy Writer,old comedy writer,unknown
5392,Soccer Mom,soccer mom,unknown
5393,Popular Girl #1,popular girl 1,unknown
5394,Popular Girl #1's Tablemates,popular girl 1s tablemates,unknown
5395,Popular Girl #2,popular girl 2,unknown
5396,Popular Girl #2's Tablemates,popular girl 2s tablemates,unknown
5397,Helicopter Parents,helicopter parents,unknown
5398,Kaitlin,kaitlin,unknown
5399,GHOST,ghost,unknown
5400,Chaucer's Ghost,chaucers ghost,unknown
5401,Female Ghost,female ghost,unknown
5402,ELEGANTLY-DRESSED GHOST,elegantly-dressed ghost,unknown
5403,Oscar Wilde,oscar wilde,unknown
5404,Mother In Audience,mother in audience,unknown
5405,Kenny,kenny,unknown
5406,Science Water Promoter,science water promoter,unknown
5407,City Inspector,city inspector,unknown
5408,Dr. Bettelheim,dr bettelheim,unknown
5409,Geoff,geoff,unknown
5410,Donald,donald,unknown
5411,Caitlin,caitlin,unknown
5412,Katelyn,katelyn,unknown
5413,Kate Lynn,kate lynn,unknown
5414,Girl In Background,girl in background,unknown
5415,SMITTEN GIRL WHO FAINTS,smitten girl who faints,unknown
5416,Girl In Riding Boots,girl in riding boots,unknown
5417,British Groundskeeper,british groundskeeper,unknown
5418,Boy Resembling Ralph,boy resembling ralph,unknown
5419,Teenage Stagehand,teenage stagehand,unknown
5420,Alaska Nebraska,alaska nebraska,unknown
5421,CAITLYN,caitlyn,unknown
5422,Walsingham,walsingham,unknown
5423,Queen Elizabeth,queen elizabeth,unknown
5424,Herald Mel,herald mel,unknown
5425,Prince Ralph,prince ralph,unknown
5426,King Julio,king julio,unknown
5427,Lady Marjorie,lady marjorie,unknown
5428,Sir Walter Raleigh,sir walter raleigh,unknown
5429,Advisor,advisor,unknown
5430,Protestant Minister,protestant minister,unknown
5431,Vietnamese Manicurist,vietnamese manicurist,unknown
5432,Doc,doc,unknown
5433,Other Dwarves,other dwarves,unknown
5434,Evil Queen,evil queen,unknown
5435,Disembodied Face,disembodied face,unknown
5436,Huntsman Willie,huntsman willie,unknown
5437,Snow White,snow white,unknown
5438,Turtle,turtle,unknown
5439,Dwarves,dwarves,unknown
5440,Crabby,crabby,unknown
5441,First Witch,first witch,unknown
5442,Second Witch,second witch,unknown
5443,Lady 911 Operator,lady 911 operator,unknown
5444,Ghosts,ghosts,unknown
5445,Mr. Toohey,mr toohey,unknown
5446,Avery Mann,avery mann,unknown
5447,Everyman,everyman,unknown
5448,Older Executive,older executive,unknown
5449,Male Producer,male producer,unknown
5450,Jonah,jonah,unknown
5451,Director #1,director 1,unknown
5452,Director #2,director 2,unknown
5454,Fiji,fiji,unknown
5455,HOLLYWOOD HIPSTERS,hollywood hipsters,unknown
5456,Police Chief,police chief,unknown
5457,Leading Lady,leading lady,unknown
5458,Studio Heads,studio heads,unknown
5459,Former Studio Head,former studio head,unknown
5460,Dr. Reptilicus,dr reptilicus,unknown
5461,Exercise Babe,exercise babe,unknown
5462,NEW TEACHER,new teacher,unknown
5463,BIG-BUSTED DOWAGER,big-busted dowager,unknown
5464,Australian Woman,australian woman,unknown
5465,Fighter,fighter,unknown
5466,Autograph-signing Fighter,autograph-signing fighter,unknown
5467,Scalper,scalper,unknown
5468,Chett,chett,unknown
5469,Donkey,donkey,unknown
5470,Man Below,man below,unknown
5471,HEAVY BAG,heavy bag,unknown
5472,Males In Audience,males in audience,unknown
5473,Muncher Barney,muncher barney,unknown
5474,Muncher,muncher,unknown
5475,Muncher Helen Lovejoy,muncher helen lovejoy,unknown
5476,Wild-eyed Man,wild-eyed man,unknown
5477,Refugees,refugees,unknown
5478,Head Soldier,head soldier,unknown
5479,Chinese-american Worker,chinese-american worker,unknown
5480,LUANNE,luanne,unknown
5481,Carl #1,carl 1,unknown
5482,Carl #2,carl 2,unknown
5483,CLASSY FRENCHMAN,classy frenchman,unknown
5484,COMMISSIONER POMPIDOU,commissioner pompidou,unknown
5485,Beautiful French Lady,beautiful french lady,unknown
5486,Terrorist Type,terrorist type,unknown
5487,Bonk It,bonk it,unknown
5488,Cletus' Pa,cletus pa,unknown
5489,Hillbillies,hillbillies,unknown
5490,Bearded Hillbilly,bearded hillbilly,unknown
5491,Big Hillbilly,big hillbilly,unknown
5492,Whitney,whitney,unknown
5493,Mysterious Voices,mysterious voices,unknown
5494,Hooded Figures,hooded figures,unknown
